Epoch 215: Loss: 0.000258, Rec Loss: 0.000257, FC Loss: 0.000000
Epoch 216: Loss: 0.000246, Rec Loss: 0.000245, FC Loss: 0.000000
Epoch 217: Loss: 0.000247, Rec Loss: 0.000247, FC Loss: 0.000000
Epoch 218: Loss: 0.000255, Rec Loss: 0.000255, FC Loss: 0.000000
Epoch 219: Loss: 0.000237, Rec Loss: 0.000236, FC Loss: 0.000000
Epoch 220: Loss: 0.000241, Rec Loss: 0.000241, FC Loss: 0.000000
Epoch 221: Loss: 0.000250, Rec Loss: 0.000250, FC Loss: 0.000000
Epoch 222: Loss: 0.000247, Rec Loss: 0.000247, FC Loss: 0.000000
Epoch 223: Loss: 0.000244, Rec Loss: 0.000243, FC Loss: 0.000000
Epoch 224: Loss: 0.000242, Rec Loss: 0.000241, FC Loss: 0.000000
Epoch 225: Loss: 0.000253, Rec Loss: 0.000253, FC Loss: 0.000000
Epoch 226: Loss: 0.000249, Rec Loss: 0.000248, FC Loss: 0.000000
Epoch 227: Loss: 0.000246, Rec Loss: 0.000246, FC Loss: 0.000000
Epoch 228: Loss: 0.000241, Rec Loss: 0.000240, FC Loss: 0.000000
Epoch 229: Loss: 0.000235, Rec Loss: 0.000234, FC Loss: 0.000000
Epoch 230: Loss: 0.000252, Rec Loss: 0.000252, FC Loss: 0.000000
Epoch 231: Loss: 0.000244, Rec Loss: 0.000244, FC Loss: 0.000000
Epoch 232: Loss: 0.000240, Rec Loss: 0.000240, FC Loss: 0.000000
Epoch 233: Loss: 0.000230, Rec Loss: 0.000230, FC Loss: 0.000000
Epoch 234: Loss: 0.000244, Rec Loss: 0.000243, FC Loss: 0.000000
Epoch 235: Loss: 0.000241, Rec Loss: 0.000241, FC Loss: 0.000000
Epoch 236: Loss: 0.000243, Rec Loss: 0.000242, FC Loss: 0.000000
Epoch 237: Loss: 0.000247, Rec Loss: 0.000247, FC Loss: 0.000000
Epoch 238: Loss: 0.000235, Rec Loss: 0.000234, FC Loss: 0.000000
Epoch 239: Loss: 0.000238, Rec Loss: 0.000238, FC Loss: 0.000000
Epoch 240: Loss: 0.000238, Rec Loss: 0.000238, FC Loss: 0.000000
Epoch 241: Loss: 0.000265, Rec Loss: 0.000264, FC Loss: 0.000000
Epoch 242: Loss: 0.000232, Rec Loss: 0.000232, FC Loss: 0.000000
Epoch 243: Loss: 0.000235, Rec Loss: 0.000235, FC Loss: 0.000000
Epoch 244: Loss: 0.000229, Rec Loss: 0.000229, FC Loss: 0.000000
Epoch 245: Loss: 0.000242, Rec Loss: 0.000241, FC Loss: 0.000000
Epoch 246: Loss: 0.000242, Rec Loss: 0.000242, FC Loss: 0.000000
Epoch 247: Loss: 0.000234, Rec Loss: 0.000234, FC Loss: 0.000000
Epoch 248: Loss: 0.000248, Rec Loss: 0.000248, FC Loss: 0.000000
Epoch 249: Loss: 0.000248, Rec Loss: 0.000248, FC Loss: 0.000000
Epoch 250: Loss: 0.000241, Rec Loss: 0.000240, FC Loss: 0.000000
Epoch 251: Loss: 0.000232, Rec Loss: 0.000232, FC Loss: 0.000000
Epoch 252: Loss: 0.000239, Rec Loss: 0.000239, FC Loss: 0.000000
Epoch 253: Loss: 0.000227, Rec Loss: 0.000226, FC Loss: 0.000000
Epoch 254: Loss: 0.000263, Rec Loss: 0.000263, FC Loss: 0.000000
Epoch 255: Loss: 0.000221, Rec Loss: 0.000221, FC Loss: 0.000000
Epoch 256: Loss: 0.000234, Rec Loss: 0.000234, FC Loss: 0.000000
Epoch 257: Loss: 0.000226, Rec Loss: 0.000226, FC Loss: 0.000000
Epoch 258: Loss: 0.000239, Rec Loss: 0.000239, FC Loss: 0.000000
Epoch 259: Loss: 0.000234, Rec Loss: 0.000234, FC Loss: 0.000000
Epoch 260: Loss: 0.000267, Rec Loss: 0.000266, FC Loss: 0.000000
Epoch 261: Loss: 0.000233, Rec Loss: 0.000233, FC Loss: 0.000000
Epoch 262: Loss: 0.000219, Rec Loss: 0.000219, FC Loss: 0.000000
Epoch 263: Loss: 0.000233, Rec Loss: 0.000232, FC Loss: 0.000000
Epoch 264: Loss: 0.000229, Rec Loss: 0.000229, FC Loss: 0.000000
Epoch 265: Loss: 0.000249, Rec Loss: 0.000248, FC Loss: 0.000000
Epoch 266: Loss: 0.000232, Rec Loss: 0.000232, FC Loss: 0.000000
Epoch 267: Loss: 0.000217, Rec Loss: 0.000217, FC Loss: 0.000000
Epoch 268: Loss: 0.000242, Rec Loss: 0.000242, FC Loss: 0.000000
Epoch 269: Loss: 0.000220, Rec Loss: 0.000220, FC Loss: 0.000000
Epoch 270: Loss: 0.000239, Rec Loss: 0.000239, FC Loss: 0.000000
Epoch 271: Loss: 0.000230, Rec Loss: 0.000229, FC Loss: 0.000000
Epoch 272: Loss: 0.000229, Rec Loss: 0.000229, FC Loss: 0.000000
Epoch 273: Loss: 0.000231, Rec Loss: 0.000230, FC Loss: 0.000000
Epoch 274: Loss: 0.000218, Rec Loss: 0.000218, FC Loss: 0.000000
Epoch 275: Loss: 0.000249, Rec Loss: 0.000249, FC Loss: 0.000000
Epoch 276: Loss: 0.000221, Rec Loss: 0.000221, FC Loss: 0.000000
Epoch 277: Loss: 0.000226, Rec Loss: 0.000226, FC Loss: 0.000000
Epoch 278: Loss: 0.000236, Rec Loss: 0.000236, FC Loss: 0.000000
Epoch 279: Loss: 0.000229, Rec Loss: 0.000229, FC Loss: 0.000000
Epoch 280: Loss: 0.000222, Rec Loss: 0.000221, FC Loss: 0.000000
Epoch 281: Loss: 0.000223, Rec Loss: 0.000223, FC Loss: 0.000000
Epoch 282: Loss: 0.000250, Rec Loss: 0.000250, FC Loss: 0.000000
Epoch 283: Loss: 0.000211, Rec Loss: 0.000211, FC Loss: 0.000000
Epoch 284: Loss: 0.000238, Rec Loss: 0.000238, FC Loss: 0.000000
Epoch 285: Loss: 0.000214, Rec Loss: 0.000213, FC Loss: 0.000000
Epoch 286: Loss: 0.000227, Rec Loss: 0.000227, FC Loss: 0.000000
Epoch 287: Loss: 0.000227, Rec Loss: 0.000227, FC Loss: 0.000000
Epoch 288: Loss: 0.000220, Rec Loss: 0.000220, FC Loss: 0.000000
Epoch 289: Loss: 0.000222, Rec Loss: 0.000222, FC Loss: 0.000000
Epoch 290: Loss: 0.000219, Rec Loss: 0.000219, FC Loss: 0.000000
Epoch 291: Loss: 0.000234, Rec Loss: 0.000234, FC Loss: 0.000000
Epoch 292: Loss: 0.000223, Rec Loss: 0.000223, FC Loss: 0.000000
Epoch 293: Loss: 0.000230, Rec Loss: 0.000229, FC Loss: 0.000000
Epoch 294: Loss: 0.000222, Rec Loss: 0.000221, FC Loss: 0.000000
Epoch 295: Loss: 0.000212, Rec Loss: 0.000212, FC Loss: 0.000000
Epoch 296: Loss: 0.000215, Rec Loss: 0.000214, FC Loss: 0.000000
Epoch 297: Loss: 0.000227, Rec Loss: 0.000227, FC Loss: 0.000000
Epoch 298: Loss: 0.000227, Rec Loss: 0.000227, FC Loss: 0.000000
Epoch 299: Loss: 0.000218, Rec Loss: 0.000217, FC Loss: 0.000000
Epoch 300: Loss: 0.000219, Rec Loss: 0.000218, FC Loss: 0.000000
Epoch 301: Loss: 0.000218, Rec Loss: 0.000218, FC Loss: 0.000000
Epoch 302: Loss: 0.000222, Rec Loss: 0.000221, FC Loss: 0.000000
Epoch 303: Loss: 0.000212, Rec Loss: 0.000212, FC Loss: 0.000000
Epoch 304: Loss: 0.000220, Rec Loss: 0.000219, FC Loss: 0.000000
Epoch 305: Loss: 0.000233, Rec Loss: 0.000233, FC Loss: 0.000000
Epoch 306: Loss: 0.000212, Rec Loss: 0.000212, FC Loss: 0.000000
Epoch 307: Loss: 0.000216, Rec Loss: 0.000215, FC Loss: 0.000000
Epoch 308: Loss: 0.000226, Rec Loss: 0.000225, FC Loss: 0.000000
Epoch 309: Loss: 0.000225, Rec Loss: 0.000225, FC Loss: 0.000000
Epoch 310: Loss: 0.000211, Rec Loss: 0.000210, FC Loss: 0.000000
Epoch 311: Loss: 0.000218, Rec Loss: 0.000218, FC Loss: 0.000000
Epoch 312: Loss: 0.000213, Rec Loss: 0.000213, FC Loss: 0.000000
Epoch 313: Loss: 0.000226, Rec Loss: 0.000226, FC Loss: 0.000000
Epoch 314: Loss: 0.000217, Rec Loss: 0.000217, FC Loss: 0.000000
Epoch 315: Loss: 0.000210, Rec Loss: 0.000209, FC Loss: 0.000000
Epoch 316: Loss: 0.000246, Rec Loss: 0.000246, FC Loss: 0.000000
Epoch 317: Loss: 0.000212, Rec Loss: 0.000212, FC Loss: 0.000000
